id,headline,date
5c79acee49f0eacbf105af2d,"b""Foundation of Prince's Second Wife to Honor Him at Gala""",2019-03-01
5c7e8fda49f0eacbf105b6d4,b'Queen Marks 50th Anniversary of Investiture of Son Charles as Prince of Wales',2019-03-05
5c2e85e53a125f5075c02bdf,"b'12 Pop, Rock and Jazz Concerts to Check Out in N.Y.C. This Weekend'",2019-01-03
5c2fbcb23a125f5075c02e49,b'New Year\xe2\x80\x99s Sounds: The Week in Classical Music',2019-01-04
5c6d176f3a125f5075c0a8b6,"b'Chaka Khan on Artistic Freedom, Her Side Hustles and Joni Mitchell'",2019-02-20
5c61bbe43a125f5075c091df,"b'Saudi Arabia, Trying to Lure Tourists, Hosts Music Festival Near Ancient Tombs'",2019-02-11
5c5af6773a125f5075c084d9,b'Music Lives in the Present. Can the Grammys Escape the Past?',2019-02-06
5c769fe649f0eacbf105a6fd,"b""UK's Prince William and Kate Show Off Soccer Skills on Surprise Northern Ireland Trip""",2019-02-27
5c4e117b3a125f5075c0695b,"b'In Focus Festival, Juilliard Salutes Public Broadcasters'",2019-01-27
5c6da7843a125f5075c0aa5d,b'Gary Clark Jr. Finds a 21st-Century Blues Spirit on \xe2\x80\x98This Land\xe2\x80\x99',2019-02-20
5c609f3e3a125f5075c08fb5,"b'Grammys 2019: Cardi B, Lady Gaga and Kacey Musgraves Make It a Year for Women'",2019-02-10
5c375d1d3a125f5075c03bcc,b'The Dream of the \xe2\x80\x9990s Is Alive in Rat Boy\xe2\x80\x99s Punk Rock',2019-01-10
5c7cffbf49f0eacbf105b33f,b'Timeline: A History of British Royal Babies',2019-03-04
5c529cfe3a125f5075c073f2,"b'Another Go for Charles and Di, This Time With Music'",2019-01-31
5c65cb5b3a125f5075c09c4b,b'Lauren Lovette to Be Artist in Residence at Vail',2019-02-14
5c3f94e83a125f5075c04c5e,"b'Review: In \xe2\x80\x98Pell\xc3\xa9as,\xe2\x80\x99 the Met Opera\xe2\x80\x99s Music Director Takes Charge'",2019-01-16
5c618c753a125f5075c0915e,b'The Best and Worst of the Grammys',2019-02-11
5c5480fb3a125f5075c0796e,b'Atlanta Is Throwing Its Own Extended Super Bowl Halftime Show',2019-02-01
5c2bca483a125f5075c0277e,b'Review: Met Opera\xe2\x80\x99s \xe2\x80\x98Adriana Lecouvreur\xe2\x80\x99 Bristles With Passion and Danger',2019-01-01
5c54e28e3a125f5075c07a78,"b'Sanford Sylvan, Baritone Who Created Major Opera Roles, Dies at 65'",2019-02-02
5c5fbe403a125f5075c08ec2,b'What\xe2\x80\x99s on TV Sunday: The Grammys and \xe2\x80\x98Patriot Act\xe2\x80\x99',2019-02-10
5c69cb4c3a125f5075c0a2e2,"b'Kiyoshi Koyama, Prominent Japanese Jazz Journalist, Dies at 82'",2019-02-17
5c534d323a125f5075c075f3,"b'Instead of Killer Punchlines, Killer Choruses'",2019-01-31
5c6fba6f3a125f5075c0af74,b'What to See in New York City This Spring',2019-02-22
5c51eb213a125f5075c0726a,b'A Spice Girl at the Frick and Hugh Jackman\xe2\x80\x99s Tight Sweater',2019-01-30
5c50f9123a125f5075c06ff1,b'Maroon 5 Will Skip One Super Bowl Performance: The News Conference',2019-01-30
5c4f1ffc3a125f5075c06b3c,b'What to Cook Right Now',2019-01-28
5c3877363a125f5075c03e68,b'Netflix Chose a New Market Over Free Speech. That Sets a Disturbing Precedent.',2019-01-11
5c7348603a125f5075c0b540,b'The Oscars Red Carpet Is Living Again',2019-02-25
5c687f8d3a125f5075c0a185,"b'Lee Radziwill, Ex-Princess and Sister of Jacqueline Kennedy Onassis, Dies at 85'",2019-02-16
5c6afdea3a125f5075c0a4b7,"b'China, the Vatican, Kashmir: Your Tuesday Briefing'",2019-02-18
5c40d99a3a125f5075c04fa5,b'Khashoggi Killing Detailed in New Book: \xe2\x80\x98We Came to Take You to Riyadh\xe2\x80\x99',2019-01-17
5c40faf13a125f5075c0501f,b'7 Things to Do With Your Kids in N.Y.C. This Weekend',2019-01-17
5c61cbf03a125f5075c09206,"b'President Trump, South Korea, India: Your Tuesday Briefing'",2019-02-11
5c2e95cd3a125f5075c02c08,"b'Congress, Espionage, China Economy: Your Thursday Evening Briefing'",2019-01-03
5c731b093a125f5075c0b4f2,b'Regina King Stuns in White and Glenn Close Dons Queenly Gold',2019-02-24
5c41a3a33a125f5075c05155,b'Letters to the Editor',2019-01-18
5c3f989e3a125f5075c04c64,"b'The Guarneri del Ges\xc3\xb9, \xe2\x80\x9cPrince Doria,\xe2\x80\x9d 1734'",2019-01-16
5c6c56ce3a125f5075c0a756,b'Virginie Viard Takes the Helm of Chanel After Karl Lagerfeld',2019-02-19
5c6075733a125f5075c08f81,"b'India, Jeff Bezos, Grammys: Your Monday Briefing'",2019-02-10
5c76fe1d49f0eacbf105a82f,b'Taylor Swift Surprises a Couple. Again.',2019-02-27
5c6103ea3a125f5075c0903c,"b'U.S. Congress, Dubai, Grammys: Your Monday Briefing'",2019-02-11
5c653c803a125f5075c09a93,b'36 Hours in Miami and Miami Beach',2019-02-14
5c51f6753a125f5075c0727d,b'Are the Oscars Ashamed to Be the Oscars?',2019-01-30
5c4df9b83a125f5075c06940,"b'Review: A Double Bill at the Met Opera, Bleakly Gray as Winter'",2019-01-27
5c2c9f5d3a125f5075c0285e,b'DealBook Briefing: What Could Go Wrong in 2019? Plenty',2019-01-02
5c571a9e3a125f5075c07ccd,"b'At the Paris Opera, a Biblical Tale Told With Rothko and Children'",2019-02-03
5c6718853a125f5075c09fa2,b'City Opera Faces Its Biggest Challenge Since Bankruptcy',2019-02-15
5c719aa83a125f5075c0b312,"b'Stanley Donen, \xe2\x80\x98Master of the Musical\xe2\x80\x99 Who Directed \xe2\x80\x98Singin\xe2\x80\x99 in the Rain,\xe2\x80\x99 Dies at 94'",2019-02-23
5c55a1c73a125f5075c07b35,b'Events Are the New Magazines',2019-02-02
