,rank,country,ethnic_fractionalization_index,cultural_diversity_index
1,"1
",['Papua New Guinea'],"1.000
",
2,"2
",['Tanzania'],"0.953
","0.564
"
3,"3
",['Democratic Republic of Congo'],"0.933
","0.628
"
4,"4
",['Uganda'],"0.930
","0.647
"
5,"5
",['Liberia'],"0.899
","0.644
"
6,"6
",['Cameroon'],"0.887
","0.733
"
7,"7
",['Togo'],"0.883
","0.602
"
8,"8
",['South Africa'],"0.880
","0.530
"
9,"9
",['Congo'],"0.878
","0.562
"
10,"10
",['Madagascar'],"0.861
","0.192
"
11,"11
",['Gabon'],"0.857
","0.382
"
12,"12
",['Kenya'],"0.852
","0.601
"
13,"13
",['Ghana'],"0.846
","0.388
"
14,"14
",['Malawi'],"0.829
","0.294
"
15,"15
",['Guinea-Bissau'],"0.818
","0.568
"
16,"16
",['Somalia'],"0.812
","0.290
"
17,"17
",['India'],"0.811
","0.667
"
18,"18
",['Nigeria'],"0.805
","0.660
"
19,"19
",['Yugoslavia'],"0.801
","0.385
"
20,"20
",['Central African Republic'],"0.791
","0.511
"
21,"21
",['Ivory Coast'],"0.784
","0.557
"
22,"22
",['Lebanon'],"0.780
","0.195
"
23,"23
",['Chad'],"0.772
","0.727
"
24,"24
",['Indonesia'],"0.766
","0.522
"
25,"25
",['Mozambique'],"0.765
","0.285
"
26,"26
",['Gambia'],"0.764
","0.548
"
27,"27
",['Sierra Leone'],"0.764
","0.534
"
28,"28
",['Ethiopia'],"0.760
","0.562
"
29,"29
",['Angola'],"0.756
","0.242
"
30,"30
",['Mali'],"0.754
","0.590
"
31,"31
",['Afghanistan'],"0.751
","0.679
"
32,"32
",['Bolivia'],"0.743
","0.662
"
33,"33
",['United Arab Emirates'],"0.737
","0.650
"
34,"34
",['Senegal'],"0.727
","0.402
"
35,"35
",['Zambia'],"0.726
","0.189
"
36,"36
",['Namibia'],"0.724
","0.589
"
37,"37
",['Soviet Union'],"0.711
","0.596
"
38,"38
",['Sudan'],"0.708
","0.698
"
39,"39
",['Kuwait'],"0.708
","0.540
"
40,"40
",['Burkina Faso'],"0.704
","0.354
"
41,"41
",['Bosnia and Herzegovina'],"0.681
","0.146
"
42,"42
",['Kyrgyzstan'],"0.679
","0.624
"
43,"43
",['Nepal'],"0.677
","0.542
"
44,"44
",['Iran'],"0.669
","0.542
"
45,"45
",['Guinea'],"0.669
","0.490
"
46,"46
",['Kazakhstan'],"0.664
","0.620
"
47,"47
",['Colombia'],"0.656
","0.020
"
48,"48
",['Ecuador'],"0.655
","0.480
"
49,"49
",['Eritrea'],"0.647
","0.398
"
50,"50
",['Trinidad and Tobago'],"0.647
","0.380
"
51,"51
",['Peru'],"0.638
","0.506
"
52,"52
",['Niger'],"0.637
","0.600
"
53,"53
",['Mauritius'],"0.632
","0.448
"
54,"54
",['Mauritania'],"0.625
","0.272
"
55,"55
",['Benin'],"0.622
","0.400
"
56,"56
",['Guyana'],"0.620
","0.460
"
57,"57
",['Djibouti'],"0.606
","0.404
"
58,"58
",['Bhutan'],"0.605
","0.518
"
59,"59
",['Malaysia'],"0.596
","0.564
"
60,"60
",['Canada'],"0.596
","0.499
"
61,"61
",['Latvia'],"0.585
","0.441
"
62,"62
",['Syria'],"0.581
","0.235
"
63,"63
",['Switzerland'],"0.575
","0.418
"
64,"64
",['Kingdom of Yugoslavia'],"0.575
","0.392
"
65,"65
",['Belgium'],"0.567
","0.462
"
66,"66
",['Fiji'],"0.566
","0.553
"
67,"67
",['Saudi Arabia'],"0.553
","0.413
"
68,"68
",['Bahrain'],"0.551
","0.460
"
69,"69
",['Iraq'],"0.549
","0.355
"
70,"70
",['Brazil'],"0.549
","0.020
"
71,"71
",['Mexico'],"0.542
","0.434
"
72,"72
",['Macedonia'],"0.535
","0.432
"
73,"73
",['Pakistan'],"0.532
","0.289
"
74,"74
",['Israel'],"0.526
","0.246
"
75,"75
",['Burma'],"0.522
","0.419
"
76,"76
",['Tajikistan'],"0.513
","0.492
"
77,"77
",['Estonia'],"0.511
","0.492
"
78,"78
",['Moldova'],"0.510
","0.401
"
79,"79
",['Jordan'],"0.509
","0.049
"
80,"80
",['Panama'],"0.507
","0.168
"
