"","author","date","source","text","year","linked_progress","linked_hurt"
"1","",1968-11-23,"Sun Reporter (1968-1979)"," Friday, Nov. 22, at 8 p.m. Rev. L. S. Rubin, pastor at Olivet Baptist Church and Rev. R. Johnson, pastor at Evergreen Church with their congregations will be featured guests in a celebration honoring Dr. G. L. Bedford, pastor of Macedonia Baptist Church for having served his church and community with Christian leadership and ability for eleven years. His wife and some will share these honors with him.Rev. Dave Garrison will be in charge of the evening's program. Music will be rendered by the choir from the Olivet Baptist Church, and the sermon will be delivered by Rev. Johnson.There will be a special service Sunday, November 24, at 3 p.m. The Rev. Williams S. Jones will be in charge.Rev. J.L. Richard, pastor of Evergreen Baptist Church, Oakland, will be the guest speaker. Rev. Richard will be accompanied by his congregation and choirs. Everyone is invited to share in these services in praise of Dr. Bedford.The anniversary chairman is Mrs. Ida Lee Moore.","1968",0,0
"2","",1968-11-13,"Oakland Post (1968-1981)"," ""We have a large building, an ante bellum building . . . beautifully arranged and beautiful as far as tradition is concerned . . . There is no sign saying black, white, colored, green, yellow, or pink . . . all of us come in the back door and most everybody else comes in the front door. . . They (Negroes) all come in the front door . . . It's the white people that come in the back door, the case workers . . ."" Testimony of self-described ""MIZ WELFARE"", Mrs. Clellan Wilkinson, director of Pensions and Security in Dallas County, Ala., before U. S. Civil Rights Commission.""I was hired as weaver, but somewhere along the line. I got to be a floor sweeper, light bulb cleaner, and what have you . . ."" Ala. Negro testifying before Civil Rights Commission about Dan River Mills, Greenville, which employs three Negroes as menials out of hundreds of workmen. "". . . the federal programs which are designed to aid the poor had little impact on the black poor of rural Alabama. These people who have had their hopes raised again and again as they were told of many federal programs which were supposedly written with them in mind, find that in reality, they were empty promises and a cruel hoax . . . the only anti-poverty programs which offer any real promise are those which are funded directly from Washington and have bypassed the local CAP (Community Action Programs) . . ."" C. ERSKINE SMITH, white Birmingham lawyer.""You hear a lot about the mistakes. God knows we have made them. When I took office in November 1963, I said we must continue. Now after five years, that is still the best advice I can give you. We must continue. . ."" PRESIDENT JOHNSON.","1968",1,1
"3","",1968-11-13,"Oakland Post (1968-1981)"," KTVU's 'tele-voters' were back to being pretty up-tight this week.San Francisco's Mayor Alioto should not apologize to the Black Panthers ""for his remarks about the Sunday night bombings,"" in the opinion of 61 percent.Teachers should not strike if violence is not curbed in high schools - 83 percent to 17.Fifty-three percent did not agree with President Johnson's ""announcement on Vietnam""; and 56 percent do not think the bombing halt will result in peace in Vietnam ... As a matter of fact, you might say, ""Don't give up the ship"" was the by-word of viewers polled by Channel 2 in its weekly question and answer period.However, the San Francisco-Oakland TV station stressed the continuing non-scientific, ""not necessarily"" representative of community opinion nature of its poll.","1968",0,1
"4","",1968-12-18,"Oakland Post (1968-1981)"," WASHINGTON, D.C. -- Washington's appointed Mayor, Walter E. Washington, first Mayor and first Negro to head the city administration, spoke at the annual Christmas tree lighting ceremony Monday at which President Johnson extended the world his Christmas greeting.The President lit a 74-foot, 115-year-old Engelmann spruce from the Vinta National Forest near Heber City, Utah. It is decorated with 8000 red, white and blue lights and gold spheres and topped by a large star.President Franklin D. Roosevelt initated the practice of lighting a national Christams tree.At the introduction of President-Elect Richard Nixon's cabinet last week, Nixon recognized the presence of Mayor Washington and said it was his intention to retain him in office. However, there is considerably speculation that Nixon may do away with use of the title, ""Mayor"", and return to the designation, ""Commissioner,"" for the District's chief executive.","1968",0,0
"5","",1968-12-28,"Sun Reporter (1968-1979)"," Spokesmen for the Congress of Racial Equality declared at a recent press conference that the development of black capitalism is the highest priority in this country. Kermit Scott, associate national director of CORE, explained that ""capital leakage"" is one of the main problems in the black ghetto. In Harlem, for example, 80 per cent of the business is white-owned, and as a result, Scott said, most of the residents' money goes out of the community. ""The new black economic program,"" Scott said, ""will create wealth in our communities, not just jobs alone, but jobs and capital.""Donald Simmons, economic consultant to CORE, has been instrumental in designing the new economic thrust of the organization. ""Straight up business"" he said, ""may be the thing to do before the whole place blows up."" Simmons stated that legislation has been introduced in Congress, a bill called the Community Self-Determination Act, which will complement black economic development. The twofold purpose of the legislation is to establish the apparatus for setting up economic corporations in ghettos, and to establish a secondary banking system that will help blacks get credit.The national director of CORE, Wilfred Ussery, commented on the group's concept of black separatism. ""We don't see enough energy in the United States to bring blacks and whites together,"" he said. Scott noted that CORE was not adopting a policy of segregation, ""a system where one group controls the goods, flow and life style of another group-control from without."" Rather, he said, ""we are talking about a separatist society, which implies that where blacks predominate they control."" The whole society, he concluded ""has expressed itself as one that is not inclined toward integration.""Photo (KERMIT SCOTT, WILFRED USSERY AND DONALD SIMMONS)","1968",1,0
"6","",1968-12-18,"Oakland Post (1968-1981)"," The Lowell Junior High school fire that caused $75,000 in damages to that all-black Oakland junior high school justifies the indignant concern that Negroes in Oakland are showing at this senseless act that has robbed the Negro children who attend this school of their much needed classroom space and has interrupted their education. The nature of the fire points towards arson as its origin, and if this be the case, and it appears that it is, every Negro in Oakland should make an effort to aid the police in apprehending the person or persons who committed this foul deed. During the last year, several Oakland schools have been subjected to sporadic fires, the major portion of which have been deliberately set by students or non-students who intend to disrupt the educational processes of this city.There are some who would call these persons ""militants."" We believe they must be branded as stupid, inconsiderate criminals who must be apprehended and brought to justice as their deeds not only destroy the educational facilities of this school district, of which 68 percent of the students are minorities, but also place in jeopardy the lives of teachers, administrators, and students who attend these educational institutions.Black people throughout the city recognize that education on all levels is the most important asset any Negro student can have. It is difficult to believe that anyone could reason that the destruction of our school facilities by fire could aid in the education of our children.Because of the frequency of the fires in the Oakland schools last year the insurance companies covering the schools cancelled their policies. This insurance has been reinstated with a $25,000 deductible, which means that in this instance, fire insurance will pay $50,000, approximately, but the first $25,000 of damage must be paid out of an already tight school budget. It is conceivable, too, that if the experience of the district with reference to fire damage is continued, the insurance companies covering the district will cancel their insurance completely.Every possible effort should be made to apprehend the culprit and prosecute him to the fullest extent of the law. There is no possible rationale or justification for public property being destroyed intentionally by arson and no logical person can justify this act. The time has come for men of reason and sound judgment to make an all-out effort to generate the kind of community support for the school district that will result in the capture of the persons responsible for such offenses as the fire that destroyed a major portion of Lowell Junior High. This must be done if the black children of Oakland are to receive the education that they are entitled to.It is the recommendation of this paper that the School District post a reward for the person aiding in the capture of the guilty person or persons.","1968",0,1
"7","",1968-10-09,"Oakland Post (1968-1981)"," SACRAMENTO -- One of the first Negro mayors in the state, Mayor City Councilman DuBois McGee, of the lower California town of El Centro, addressed the Sacramento Valley area of the California Credit Union League, here last Saturday.McGee is president of the state association of credit unions and treasurer-manager of the $1.5 million Imperial Federal Credit Union which serves employees of the Imperial Irrigation District.The California Credit Union is the largest of 100 leagues representing 34 million credit unions over the world. There are 36 chapters in the California Union. Sacramento Valley chapter consists of 70 unions with $90 million in assets and its president is Caesar Nelson, of the Sacramento Branch NAACP Credit Union.Credit unions outnumber all other kinds of financial institutions. In California alone, there are more than 1800, with combined total assets of $1.7 billion and 2,250,000 members.Credit unions are defined as ""non-profit financial associations of individuals who share some common bond, usually employment."" Members pool their savings and then make low-cost loans to one another. Loan interest is distributed among members as divideds on their savings.Fifty percent of all credit unions in the U. S. pay dividens of five percent or more and a few pay six percent on regular savings. Last year, credit unions had a $9.1 billion share of the U. S. consumer credit market and assets of $12.5 billion.","1968",1,0
"8","",1968-10-31,"Sacramento Observer (1968-1975)"," Robert Weaver, head of the Department of Housing and Urban Development, and a member of the President's Cabinet.Carl Stokes, Mayor of Cleveland.Walter Washington, Mayor of Washington, D.C.Richard Hatcher, Mayor of Gary, Indiana.That's power. The kind of power that counts. The kind that comes when Black America has a chance to show its muscle at the polls and in the courts.And Hubert Humphrey helped make it happen.It was Humphrey who chased the Dixiecrats out of the Democratic Convention in 1948 and won the first strong civil rights plank providing equal opportunity for all Americans.It was Humphrey who led the fight to victory for the 1964 Civil Rights Act--the most far-reaching civil rights legislation ever enacted.Last summer he personally led the drive that found nearly a million jobs for black youngsters.Now he's got plans for getting new jobs. And not just any jobs, but jobs where a black man can move ahead. He wants to rebuild the cities so more black families can own their own homes. He has plans to guarantee that every child gets the opportunity for a college education or advanced training.And if Humphrey doesn't do it, who will?The Agnew-crats?Let's make Humphrey President.Show him he can count on you. You already know you can count on him.","1968",1,0
"9","",1968-09-11,"Oakland Post (1968-1981)"," The new Zellerbach Auditorium at the University of California in Berkeley will become the cultural showcase of the Bay Area this Fall.The University's Committee for Arts and Lectures is currently mailing to subscribers a brochure listing 10 outstanding events for the 2000 seat auditorium, plus an unusual series of chamber concerts scheduled for Hertz Hall during the months of October and November.The fall season will open on Saturday, October 5, with an evening of opera featuring leading members of the Tokyo Opera Company under the direction of Dr. Jan Popper, director of UCLA Opera Theatre who has been on a year's sabbatical in Japan.A new one-act opera by Japanese composer Osamu Shimizu, ""The Marriage Test,"" will be featured during the evening, in Japanese. This will be the American premiere run for this folk opera.The famed Die Brucke Drama Company of Germany will present two plays in Zellerbach Auditorium during its 1968 World tours. On Sunday, October 6, the German speaking troupe will present the 18th Century comedy ""Minna von Barnhelm"" by Gotthold Ephraim Lessing, and the following evening, October 7, a modern play called ""Das Schloss"" by Max Brod, taken from the Kafka novel of the same name.National Ballet of Mexico will take over the 62-foot wide stage on Saturday, October 19. The company has a dance style uniquely its own, based on the classical ballet forms, yet with a strong leaning toward the Martha Graham school of Oriental techniques. It has achieved great critical success over the past several years in its performing tours in Russia, China, Italy, Cuba and the U. S.One of the most ambitious programs scheduled for the new auditorium will be presented on October 22, when the Bach Collegium and Kantorei Stuttgart will give a performance of Mozart's ""Coronation Mass and Requiem. Directed by Helmuth Rilling, this group is composed of one of the foremost orchestral ensembles in Europe (the Bach Collegium) and a flawless choir (Kantorei of Stuttgart). This is the first American tour for the 73-member ensemble. The six soloists are all members of the Berlin State Opera.The Oakland Symphony under the direction of Gerhard Samuel, will present two programs. On Saturday, October 26, mezzo-soporano Betty Allen, who first appeared here in 1966 with the New York Chamber Soloists, will make a long awaited guest appearance with the Orchestra, singing Mahler's ""Songs of a Wayfarer"" and Wagner's Five Woondonk Songs. Miss Allen appeared with the Oakland Symphony during their 1965-66 seasons.Pianist Rudolf Firkunsny will perform with the Oakland Symphony on Saturday. November 16.Merce Cunningham, the most talked about choreographer/dancer in the U.S. and his company, will fill the Zellerbach stage with Andy Warhol and Jasper Johns sets on November 9 and 10.Benjamin Britten's musicdrama ""Curlew River"" will be fully staged by the Little Orchestra Society and The Concert Opera Assn. of N.Y. on November 15.The fall season will close on November 23, with a recital of Beethoven, Poulenc and Franck sonatas by cellist Zara Nelsova and her pianist-husband Grant Johanessen.Photo (Betty Allen)","1968",0,0
"10","Fleming, Tom",1968-11-23,"Sun Reporter (1968-1979)"," Three San Francisco police officers were shot a half block from the Hall of Justice when they stopped a Black Panther van whose occupants were sought in connection with the robbery of a service station 10 minutes earlier.The shooting at noon followed the holdup of Jan's Shell Station at 2890 Third St., 20 blocks away, where a white step-in truck pulled up with three men sitting in the front seat. One of the men ordered $2 worth of gas and then walked over to an attendant, Leonard George, and asked for change of a quarter. When George opened the cash register the man produced a gun and ordered him to turn over the cash, a total of $80.He then walked back to the truck, peeled two dollars off the roll, paid the gas attendant for the gas and the truck drove off. George and manager Gene Goodwin, who was sitting in the office, both got the license number of the vehicle and they phoned police. The truck entered the freeway, then got off the Seventh St. off-ramp and drove down Seventh St.Shot in the gunfire were Lt. Darmott Creedon, 51, Sgt. Robert Flynn, 51, and Inspector Michael O'Mahoney, 51. Creedon and Flynn, who had just left the Hall of Justice, spotted the truck and reported by radio that they were going to stop it.Both officers got out of the patrol car, Flynn stepping to the front of the van and Creedon to the rear. A moment later, Flynn was shot, felled by two bullets. Creedon was hit next and went down, managing, however, to get two shots off.A second patrol car which pulled out of the Hall of Justice rear parking lot moments later heard Creedon's radio call for help and was at the scene in a minute. In it were officers Bill McCool and and John Hanafin and Inspector O'Mahoney.""I saw three men get out of the truck and I ordered them to halt, but they fired at me and ran,"" said O'Mahoney.Hanafin ran to the rear of the truck with his drawn revolver. ""Five men in the back started to get out of the truck and I covered them with my gun and ordered them back in and locked them in,"" Hanafin said.Meanwhile, the three fleeing men had run up a dead end alley and surrendered to the three officers. Only one weapon was found, a 9mm automatic. At the scene were six expended shells from the weapon. Inside the truck, police found three clips of .30 caliber bullets for a carbine and other loose ammunition.Dozens of officers, who arrived on the scene in minutes, rounded up the eight men and took them to the Hall of Justice. The three men on the front seat, one of whom fired the weapon, were identified as William Lee Brent, 37, an ex-convict, Raymond Lewis, 28, also an ex-convict; and Samuel Napier, 26. The men in the rear were Richard Brown, 27, also an ex-convict; Wilfred Holiday, 35, John Bowman, 21; Harill Hill, 17; and Lennox Merritt, 16.All were booked for investigation of robbery and three counts of assault with intent to commit murder.In City Prison Tuesday night, Brent, who witnesses said was the man with the gun, collapsed and was taken to San Francisco General Hospital. Brent's collapse followed shortly after a woman called the jail and said she was his mother and that he was under the influence of narcotics.However, doctors at the hospital said Brent showed no evidence of having been under the influence of narcotics. A team of six inspectors headed by Inspectors Frank O'Leary and Ray Minkel, worked around the clock interviewing witnesses. Merritt and Hill, the juveniles, were in custody at the Youth Guidance Center. Police said they would seek to place against the suspects charges of conspiracy to rob and attempt to commit murder.","1968",0,1
